Review,Liked
Uau... Adorei esse lugar.,1
A crosta não é boa.,0
Não era saboroso e a textura era simplesmente desagradável.,0
Paramos durante o feriado do final de maio por recomendação de Rick Steve e adoramos.,1
A seleção no menu foi ótima e os preços também.,1
Agora estou ficando com raiva e quero meu maldito Pho.,0
"Honestamente, não tinha um gosto TÃO fresco.)",0
As batatas pareciam borracha e dava para perceber que haviam sido preparadas com antecedência e mantidas em um aquecedor.,0
As batatas fritas também estavam ótimas.,1
Um ótimo toque.,1
O serviço foi muito rápido.,1
Não voltaria.,0
"O caixa não se importou com o que eu tinha a dizer, mas ainda assim acabou sendo muito caro.",0
"Experimentei o ravoli de Cape Cod, frango, com cranberry...mmmm!",1
Fiquei enojado porque tinha quase certeza de que era cabelo humano.,0
Fiquei chocado porque nenhuma placa indica apenas dinheiro.,0
Altamente recomendado.,1
Garçonete foi um pouco lenta no serviço.,0
"Este lugar não vale o seu tempo, muito menos Vegas.",0
não gostei nada.,0
Os Burrittos Blá!,0
"A comida, incrível.",1
O serviço também é fofo.,1
Eu não poderia me importar menos... O interior é simplesmente lindo.,1
Então eles se apresentaram.,1
"Isso mesmo... o bolo de veludo vermelho... ahh, essa coisa é tão boa.",1
- Eles nunca trouxeram a salada que pedimos.,0
Este buraco na parede tem ótimas tacos de rua mexicanas e funcionários simpáticos.,1
"Demorou uma hora para conseguir nossa comida, apenas 4 mesas no restaurante, minha comida estava quente, nosso servidor estava correndo como se estivesse totalmente sobrecarregado.",0
O pior foi o sashimi de salmão.,0
"Também há combos como hambúrguer, batatas fritas e cerveja para 23, o que é um negócio decente.",1
Este foi como o golpe final!,0
Encontrei este lugar por acidente e não poderia estar mais feliz.,1
"parece um bom lugar rápido para comer alguma comida familiar de pub, mas faça um favor a si mesmo e procure outro lugar.",0
"No geral, gosto muito deste lugar.",1
A única qualidade redentora do restaurante era que era muito barato.,1
Porções amplas e bons preços.,1
"Mau atendimento, o garçom me fazia sentir como se eu fosse um idiota toda vez que ele vinha até a mesa.",0
Minha primeira visita ao Hiro foi uma delícia!,1
Serviço é uma merda.,0
O camarão macio e úmido.,1
Não existe um acordo bom o suficiente que me arraste para aquele estabelecimento novamente.,0
Difícil julgar se esses lados eram bons porque ficamos enojados com o isopor derretido e não queríamos comê-lo por medo de ficar doente.,0
"Numa nota positiva, o nosso servidor foi muito atencioso e prestou um excelente serviço.",1
"Discos congelados de nojo, com algumas das piores pessoas por trás da caixa registradora.",0
A única coisa que gostei foi a seção de costela e sobremesa.,1
É uma pena que a comida seja tão genérica.,0
